what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1296496349632
java.specification.name,sysinfo,,,"Java Platform API Specification",1296496349632
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296496349632
java.specification.version,sysinfo,,,"1.6",1296496349632
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1296496349632
java.version,sysinfo,,,"1.6.0_22",1296496349632
java.vm.info,sysinfo,,,"mixed mode, sharing",1296496349632
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1296496349632
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1296496349632
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296496349632
java.vm.specification.version,sysinfo,,,"1.0",1296496349632
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1296496349632
java.vm.version,sysinfo,,,"17.1-b03",1296496349632
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1296496349804
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1296496349804
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1296496349835
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1296496350492
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1296496353945
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.monitor.ui",1296496354210
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1296496354226
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1296496354226
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1296496354632
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1296496354632
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1296496355601
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1296496355601
