what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296656784328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296656837343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296656861796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296656861796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296656862187
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296656889750
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1296656896656
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1296656896828
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1296656902125
started,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1296656902140
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1296656910468
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1296656910609
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296656912781
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1296656931593
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1296656931906
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1296656932187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296656937187
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296656981078
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1296656999953
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296657001265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296657001265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296657001406
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296657020703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296657021031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296657021031
