what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1296500121307
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296500125057
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1296500131885
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296500132697
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296500135119
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1296500148790
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1296500156759
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500158259
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500159524
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296500178555
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296500182461
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1296500199147
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500205756
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500215865
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296500217006
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1296500218318
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500229943
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500229943
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500230005
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500282097
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296500283706
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296500283737
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500313767
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500313767
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296500313877
