what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1296502263391
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1296502263422
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1296502263422
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502268968
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502291295
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296502291483
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296502291858
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502294295
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502300513
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1296502314060
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502314794
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502321856
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1296502325450
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502327668
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502352167
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296502354026
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296502354370
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1296502357932
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296502360588
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1296502361604
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502363854
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1296502368478
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502373134
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1296502373134
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296502377181
