what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296497577812
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296497578999
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296497579843
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296497580702
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1296497582171
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296497583546
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296497584561
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296497585483
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1296497588874
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296497598717
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296497603811
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1296497610998
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1296497612935
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1296497614435
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1296497625747
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296497628903
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296497628903
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296497629294
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296497631966
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296497637168
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1296497640590
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1296497648621
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1296497658589
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1296497659027
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1296497659214
